tx_hash,from,block,timestamp,gasUsed,effectiveGasPrice,gasPaidWei,status,reserve0_after,reserve1_after
1271a12f62208f1ab6dfd7ca66fd0083a85653c48507a661c04054c2e5a88c17,0xA79C12BCf11133af01b6B20f16F8AafAECdEBC93,5421764,1749578528,528850,200000000,105770000000000,1,21794.67585934132,1179387.83436
809add547ac8eccc54cc16fbffc9bced7d3c204718116253db674d4e4d3f25d0,0xb280671768a3C1b3D74475CCa845f8794dF93281,5421765,1749578529,236332,260303687,61518090956084,1,4.244621749359836,162.878377
43efb397e4c7991710ccef7057ba940f31c803ce7c67cd820ade741ea8d2da44,0xB8B98f25147F3c3688312944f924DB0bfB68412F,5421971,1749578732,136896,200000000,27379200000000,1,4.254621749359836,162.478483
3e456c90d7db59635c35169cfca795eb56b1a1392cbb34dab604cab448c5f406,0xB8B98f25147F3c3688312944f924DB0bfB68412F,5422027,1749578787,198080,200000000,39616000000000,1,4.244631770022051,1177778.595309
1d45da48d9c2745a96c14c3a9b4accebd1e90ea4262913e84ec07ff7cf9fc2bf,0xA79C12BCf11133af01b6B20f16F8AafAECdEBC93,5422168,1749578926,497879,240000000,119490960000000,1,4.144442475438903,166.899969
161cae9d545d3d3064bb13742a5f1ee659fcd0fabd332cda2ffba127811bb191,0xDa852FA51A72109ce652d4494f87117720aE382B,5422169,1749578927,261637,200799408,52536554710896,1,4.190210037318575,1176168.005465
feb8db2ae170e928c36fd68734396eecd37bd2ae1a7e0eabb69ce88e18ca9533,0x88882650B93D87FBd405C1f41D01876c1E66caDB,5422183,1749578940,458233,194733371,89233256793443,1,4.490210037318575,153.119223
0269a00b82ced27ec885c9d428fdfe10f299131ac286e0dba273a19b6926192d,0x5c0C955559135b4D51F88a34978BfF2696d184F5,5422184,1749578941,227412,5621103453,1278306378453636,1,21923.248272736146,1173444.097273
c47382f184def9be14c1e63c46badf041b13beebc827e4eeaf4fb569ff8d975d,0x34B66899F8d319a06ce73Bb16CC679Fdd7C4Bd18,5422184,1749578941,283639,110000000,31200290000000,1,4.20986635294408,1173764.466251
d2412f3dec1ba4c6cc7ab4fd2b241650445fceaee6dee41ade8cc9f131349d07,0xe18ca00dCAB461f9DA49bdD2F20fC7f3537f071A,5422338,1749579093,136942,200000000,27388400000000,1,4.21486635294408,1174635.487878
11ebed75d085395333094d35a45ddef91fb8f9c36f52768cc0914e46d24c3269,0xA79C12BCf11133af01b6B20f16F8AafAECdEBC93,5422444,1749579197,464773,280000000,130136440000000,1,4.14019198100788,1174635.487878
0814563af7c1970dbfc2994f3a8428482710bb12c7e4f51001eb9b0584cc071e,0xDa852FA51A72109ce652d4494f87117720aE382B,5422445,1749579198,261637,212165413,55510322161081,1,21897.491397256304,165.116201
cf991d04dfd5afb9854aa3475ec909ad6ffb4a98c97577e8573ad82add79c473,0xA79C12BCf11133af01b6B20f16F8AafAECdEBC93,5422589,1749579340,464777,200000000,92955400000000,1,4.127049791727402,1175550.512325
4297c20c377ff3e88a01bc515d293e2096bdbd13e2e69f41eafa760980df101e,0x3Aa262d93f468C7A5047f0b85a558625c491a433,5422590,1749579341,258324,315666169,81544147440756,1,4.186315046805142,165.235147
48576a4483c01a19c4d27217d492ebc1670cecbf465f2c6dbbca5a3a9a561a54,0x3c4b87268A6c478004474F418F51067464bfd909,5422596,1749579347,311227,117094105,36442847016835,1,4.18278564829819,1177795.186873
9b95503159d949d76bac57c5c776e86cec0062a65936ba11a17e3b5d2460bd46,0x3c4b87268A6c478004474F418F51067464bfd909,5422596,1749579347,322236,117094105,37731936018780,1,21829.210224867325,165.379347
dd5efdf58c18dca1953264d5ce1dace985a73565697da7fd2ca8aa05b586cd00,0x745969D09853F809664aC28BeF1373cAC248cf64,5422597,1749579348,252353,337345333,85130106818549,1,4.120139617076433,1176293.387562
867363a3ec2ca2cefa9f1cab41e6978c84ae7ee68da2b007938ec169a0e15edf,0xCd8B6cb97f4eF75b9119a64cA9a6B915894632da,5422598,1749579349,261045,314474940,82092110712300,1,21861.69172357416,1176293.387562
4160d6092e3b7f10fa1f9eba452f8bcb176b6cf85c4631d01fa9ecdf7ee4c25f,0x48B609D47A03Be623326eF0085828376FE46c8b6,5422598,1749579349,316041,131873756,41677513719996,1,4.127108869509769,1176293.387562
2cef6c7c5050168f953dc7159773c15f939fd737633598dace38f8d0d6630ac2,0x2C8EE53Da97bc676135f82AAE5A4bf6F97DB8c1B,5422600,1749579351,258546,136634958,35326421851068,1,4.155680298081197,166.472255
3a51bacc29ff5dc4bddb592b64845866927b7d1578ef0b234bd7b6b8ab737373,0x91E2F8E3B81CcD4d12865aE3fAb7E42aB9666666,5422604,1749579355,304345,124213599,37803787787655,1,4.173936823458044,1177149.75331
6e1cc6caede0cf52231c5915bb77f20a1b29fe675001d419497a80fa53239a8a,0x7Ac6d25FD5E437cB7c57Aee77aC2d0A6Cb85936C,5422614,1749579364,261639,100000000,26163900000000,1,4.13641564427449,1177149.75331
d5ff719dd0fec9a0e8695193cc69b924a8fd1fcc9dea9e34f2d15e8b782f123b,0xA79C12BCf11133af01b6B20f16F8AafAECdEBC93,5423072,1749579815,477997,320000000,152959040000000,1,21821.951186280705,1178132.85547
e1617a30c21248b09bc7069572db75eb318d21943a21a013f6b4a48a0cb91974,0xA4862D4571E888727735334f416fc0aA9ed3DcB4,5423073,1749579816,316619,340462216,107796806367704,1,21824.874558959742,168.768363
2b90379818a5b959115514dc4915e644567916233b3e220867f3d3162c4fb9b2,0xf70da97812CB96acDF810712Aa562db8dfA3dbEF,5423078,1749579821,353924,121751906,43090921579144,1,21841.073417105472,1176747.898467
66e0182c1ba8a9c5f2f6f18fa12d6ec66d0c46fe454f735085e0298926c2f9e5,0x7Ac6d25FD5E437cB7c57Aee77aC2d0A6Cb85936C,5423102,1749579844,277604,100000000,27760400000000,1,21851.903311947193,168.405834
924336adb709e1cfe7b74be8f8fe82952a19bdeb49c1bc3970c90c04afd0fe88,0xF8E56a335fB76B769C81E84B05F63E46C928b417,5423149,1749579891,142401,200000000,28480200000000,1,21851.903311947193,1176747.898467
abb60d4c0dbf6ab2494334df9e2c51acc006412ed31013a81803ac09366a2aa8,0xA79C12BCf11133af01b6B20f16F8AafAECdEBC93,5423317,1749580056,480777,240000000,115386480000000,1,21851.903311947193,172.956181
87f9742738f337a96b3f976a60017cd9c0ee00e883c43c37ac7a33a02d79e6f4,0xE85C374Fba6a14DfB762D8AcC08A277b406d9Ef2,5423318,1749580057,261557,700808012,183301241194684,1,4.082950503774068,169.410249
c9dc0a23138a2f793e052655a0b0b51fa7b1160d7e7c6a2155642940f8093f15,0xf70da97812CB96acDF810712Aa562db8dfA3dbEF,5423632,1749580366,466710,116161490,54213728997900,1,21803.18586995701,171.296066
543645ab7a7d1197a47dfc918923c220d2e754597be15a48c396f49c9233e0e6,0x48B609D47A03Be623326eF0085828376FE46c8b6,5423638,1749580372,239121,156148028,37338272603388,1,4.068986648946955,169.975428
faa338119ccb84108f7a579d1bd6464df48c438e9e7da251cdfb61d77c9fe84a,0x72677a609222443495385dEA8e0f8907aA5806B5,5423665,1749580398,136938,132879825,18196297475850,1,21699.55231410134,169.29352
b4f5acb13e0cf30cec6d9c13f9587d738741b049583fa95e38f3daa185ed6264,0xA79C12BCf11133af01b6B20f16F8AafAECdEBC93,5423752,1749580484,459009,200000000,91801800000000,1,4.011698925851545,172.29352
18ec9eb7cd8d670802e6c718cbcaece9c2b34871f2fea1412370c741aecbfec9,0x4Ff342F42C4D882352C706814E7b9d6280f32470,5423753,1749580485,259244,398992259,103436349192196,1,21558.01828138611,1190981.73038
2bd2a1f661019a899422fb5c920ded6a3249180b2c21376a481f517ac1da7774,0x7Ac6d25FD5E437cB7c57Aee77aC2d0A6Cb85936C,5423754,1749580486,275877,209356602,57756671289954,1,4.101127631280255,1195108.339805
846415bb6e67b999268c732a7aef8ca87dcb41903bc011d26153bd87fd9da932,0xA79C12BCf11133af01b6B20f16F8AafAECdEBC93,5423763,1749580495,456411,200000000,91282200000000,1,21409.115509053918,1197274.472201
8113031745eaf4b292da1a6eb9e2fc24c7084c4ae061ee838b60b4ed67446379,0x3ff7681626Df277769900765ee27C3DD62EF3aE2,5423764,1749580496,239944,190472330,45702692749520,1,21375.570754368615,170.252029
e09be08f0d859c8514aee380528b876b22412ba8718773d8332ca361783c370e,0x858873d613Fdf7B88Fecf214BF770522EBDBbDc2,5423992,1749580720,253887,260593920,66161408567040,1,21329.793763350128,1200968.024093
