tick_space,amount_WHYPE,amount_USD₮0
-241250→-241240,-1.0999036640687583,36.706353441417285
-241240→-241230,-0.003031324845056975,0.10126359586066189
-241230→-241190,-0.012795549402840662,0.4285144642855785
-241190→-241180,-0.10339690530080872,3.471360922632721
-241180→-241170,-0.0121003957317543,0.40665496242268145
-241170→-241160,-0.10503472971714549,3.5334072648549046
-241160→-241140,-0.8816390536031756,29.70318391359896
-241140→-241130,-0.023071047324232027,0.7784503240281614
-241130→-241110,-0.28400422359435884,9.597095172077085
-241110→-241100,-0.02414948636312931,0.8172864715999512
-241100→-241080,-2.426032409895966,82.22699507633965
-241080→-241070,-0.040989178032760976,1.3913565591278365
-241070→-241060,-0.9398102197871123,31.93329010612629
-241060→-241050,-3.3463187274082813,113.81646158325951
-241050→-241020,-1.02928211548837,35.078478510807166
-241020→-241010,-0.0018970897958682305,0.0647832534895619
-241010→-241000,-0.027413941401798245,0.9370885250475954
-241000→-240990,-0.3641605693830196,12.460524742924589
-240990→-240970,-0.0604841050206895,2.0726982486416614
-240970→-240960,-0.009989419474946581,0.34283604877145857
-240960→-240940,-0.017644311324165125,0.6064602658989141
-240940→-240930,-2.307733215125838,79.43916123612847
-240930→-240920,-0.6016912213835468,20.732754114288724
-240920→-240910,-0.010062195705139497,0.34706462869168947
-240910→-240900,-0.5482850207831287,18.930332775052236
-240900→-240890,-0.0006970453199623747,0.024090574436358668
-240890→-240880,-9.394465658951825e-05,0.003250068362893586
-240880→-240870,-0.7885692910033142,27.30829251490918
-240870→-240850,-0.000379221345897658,0.013152214104139885
-240850→-240840,-0.056934901907928714,1.97758919595569
-240840→-240830,-0.07184416215777209,2.4979472397590987
-240830→-240820,-0.1164554142882888,4.053085210421263
-240820→-240810,-0.5187546739094314,18.072671097530336
-240810→-240800,-0.06834102929449021,2.383285718620445
-240800→-240790,-0.04746411983005935,1.6568923761262553
-240790→-240780,-8.379073702005113e-05,0.0029279196281448627
-240780→-240770,-0.019418413234222543,0.6792210741311399
-240770→-240760,-2.4214014544810274,84.78099029779494
-240760→-240750,-0.1734290440903545,6.078379188869912
-240750→-240730,-0.033215463988466844,1.1658903067660973
-240730→-240710,-0.020193036826690047,0.7102112557782488
-240710→-240700,-0.02575381053010095,0.9071494029131544
-240700→-240690,-0.043435214651312275,1.5314878920546509
-240690→-240680,-9.225419371494198,325.60569016966576
-240680→-240670,-0.012078148140111804,0.42671753841898136
-240670→-240660,-0.08532401982349286,3.0174891819965324
-240660→-240650,-1.7207381363396208,60.91489088393115
-240650→-240640,-0.07002415380134464,2.4813660088996192
-240640→-240630,-0.010738905518959275,0.3809230505339436
-240630→-240620,-0.4089542829605571,14.520656965626385
-240620→-240610,-0.015950384484700986,0.5669136760412478
-240610→-240600,-0.04093887211901446,1.4565182276012314
-240600→-240590,-0.003120192532688354,0.11112089134210738
-240590→-240580,-0.11947439475674712,4.259154900149473
-240580→-240570,-0.04657666281467776,1.6620773729739788
-240570→-240560,-0.07521242903819617,2.6866231725136407
-240560→-240530,-0.012250646445668556,0.4384748552088436
-240530→-240520,-0.06506005522325536,2.3332896799748455
-240520→-240510,-0.07618264911592637,2.7349196763723467
-240510→-240500,-0.00825027470023287,0.2964771226820318
-240500→-240490,-0.08508244906630572,3.06053276543334
-240490→-240480,-0.07097762833242714,2.5557172677432263
-240480→-240460,-0.18917318860816099,6.821852374326981
-240460→-240450,-0.02962048897211825,1.0697600261357383
-240450→-240440,-0.0017832836856709877,0.06446869085374897
-240440→-240430,-0.3149169006117496,11.396163096331689
-240430→-240420,-0.013180866325381098,0.4774643120722089
-240420→-240410,-0.014804591986483297,0.5368187492187434
-240410→-240400,-0.01854272766704357,0.6730372878112175
-240400→-240370,-0.9196194363421016,33.44584655617813
-240370→-240360,-1.5463124054134594e-05,0.0005635076768608881
-240360→-240340,-0.08626813558796699,3.148505224583446
-240340→-240310,-0.0017503168600777827,0.06404074332603371
-240310→-240300,-0.12839038077018228,4.706962305382776
-240300→-240290,-0.01283257572605798,0.47092998322311835
-240290→-240270,-0.2272343213965453,8.351564568510295
-240270→-240240,-0.01424262198946449,0.5247706596354
-240240→-240230,-0.10898072592071327,4.023442872541832
-240230→-240220,-0.05201194996173258,1.9221423687129202
-240220→-240210,-0.8269962232787157,30.592869536562986
-240210→-240200,-0.09644193765078515,3.5712223308121915
