tickLower,tickUpper,amount_WHYPE,amount_USD₮0,liquidityGross
-887270,-667780,-7.65069419478726e+16,1.311920143972087e-05,4148091399765644
-667780,-414490,-20937973.064542476,6.620871693009625e-05,66222037512
-414490,-317650,-1108.6617647235005,0.140402819387751,1117260990348
-317650,-317420,-3.051021387361649,0.049518204999985514,33800766842484
-317420,-316830,-0.6082311861280901,0.010284744546009618,2681112568010
-316830,-312540,-21.088949543421883,0.45513719455681184,14416534453816
-312540,-312310,-2.3631351476271862,0.06393248505927011,33800766842484
-312310,-311720,-0.471098793268443,0.013278536187375253,2681112568010
-311720,-278550,-68.49915027666006,10.441810981080321,14416534453816
-278550,-273440,-1.4514553980497387,1.500004000002068,5759679794799
-273440,-269390,-0.914009129505512,1.4932625863236586,5759679794799
-269390,-262460,-33.53472062262782,94.8628335527242,161973383791757
-262460,-260220,-0.06359946005592657,0.28455675085777027,1200571161972
-260220,-258200,-22.520897468188206,124.68128161273164,524456239365512
-258200,-253290,-0.11237745624307269,0.8797722839965666,1277629655017
-253290,-253240,-0.9328155336519355,9.358074426919401,1181878206040391
-253240,-252340,-0.035063651865094844,0.3688721164865983,2527196709206
-252340,-247660,-32.12383021809174,446.69192970210105,510779287918495
-247660,-247510,-0.04588712951109458,0.8123600338608785,25744185299608
-247510,-247390,-0.08196556040499449,1.4707936726431863,57871054340888
-247390,-247250,-2.2775343501134424,41.402905764337206,1387300894058590
-247250,-247040,-0.32081925432992237,5.935073270608609,131423695476968
-247040,-247020,-0.011029865383869629,0.20640965533563127,47716854375881
-247020,-246940,-0.0015467963650753812,0.029091378662682472,1677104622817
-246940,-246870,-0.0006726978683457221,0.01274700798058873,836695825961
-246870,-246860,-0.002485515820106474,0.0472870072754024,21683574943103
-246860,-246320,-0.10540643289149847,2.061270153430223,17264172828350
-246320,-246190,-0.003015312785386043,0.060974508094013315,2086161517934
-246190,-246010,-3.451848942192398e-05,0.0007089228034090831,17382134374
-246010,-246000,-0.00038519633097169865,0.007986470598462664,3508085943264
-246000,-245630,-0.05449080389578581,1.1514554853822419,13540321517515
-245630,-245570,-3.380587835639188e-05,0.0007298826277474061,52362807279
-245570,-245530,-0.006868949120434295,0.14904673465419632,15999191197830
-245530,-245450,-0.00038522849249571055,0.008409229480708033,449985723856
-245450,-245410,-1.0409437759525879e-05,0.00022859709777757974,24391619600
-245410,-245320,-0.0014761738723759847,0.03262899721383525,1542337628346
-245320,-245300,-0.005901785788271533,0.1311710983478326,27824828383423
-245300,-245230,-0.00047376128830560444,0.010577146297052281,639613304687
-245230,-245070,-0.06685842669451668,1.5099383989726212,39718081258368
-245070,-244970,-0.0007625429465730354,0.01744668545879477,729524492177
-244970,-244760,-0.023129177821637086,0.5374524489152449,10618924683325
-244760,-244670,-0.0020062204555985237,0.047323035763476705,2165381684842
-244670,-244660,-0.00726793476274298,0.17229644899989813,70777526096190
-244660,-244630,-0.01643576742380424,0.39041261221536266,53405664988704
-244630,-244580,-5.063269327319311e-05,0.0012075412412329426,98911797149
-244580,-244540,-0.14994631073828782,3.5922036959128203,366977988541136
-244540,-244130,-15.64496570354483,383.3283353717873,3777748294549490
-244130,-244120,-0.2781909127179321,6.960797109187266,2783252849002862
-244120,-244090,-0.10014801879360491,2.5108857017238346,334322085240172
-244090,-244020,-0.00022444209515638962,0.005655360047864142,321910938806
-244020,-244000,-0.2912107901488304,7.37085105666502,1465157271535641
-244000,-243880,-0.011793987708305085,0.30061507326868925,9924428881879
-243880,-243840,-0.02525036803716928,0.6487718188123829,63998749837314
-243840,-243740,-0.08707109701808952,2.252880675873753,88584422891179
-243740,-243670,-0.20813307730867264,5.431210029198201,303789178417073
-243670,-243640,-0.005916457051052725,0.1551631444705781,20200194833072
-243640,-243630,-0.0004111278039440625,0.010803693381138716,4215278313617
-243630,-243610,-0.0005312589995268504,0.013981478873162836,2725532726628
-243610,-243590,-0.027161195992599405,0.7162493578842226,139485242957880
-243590,-243570,-2.467230572982721e-06,6.519190017870018e-05,12683040657
-243570,-243560,-0.0032280107600918154,0.0854221080292806,33212711584678
-243560,-243530,-0.0010185674835929911,0.02700807707162724,3496810922943
-243530,-243510,-0.00018181768748839333,0.0048330987432826855,937459673103
-243510,-243490,-0.01694133657009577,0.4512380923360272,87437636189906
-243490,-243480,-2.2855485721984497e-10,6.096771920063047e-09,2361005
-243480,-243410,-0.014224106311067668,0.3809531541557237,21033024584727
-243410,-243380,-0.09410584525451972,2.532996256082892,325503743746982
-243380,-243370,-0.0019305466728056888,0.05206750880194537,20052810849769
-243370,-243360,-0.04963035278423213,1.3398868615157715,515774005563569
-243360,-243350,-1.3168464041488916,35.586900271102145,13691919802237146
-243350,-243320,-0.007761749525013532,0.21017604159681275,26927859343869
-243320,-243270,-0.05298441524342271,1.4404852689661196,110512162068675
-243270,-243260,-0.0035398498193913463,0.09652689384328253,36971603696595
-243260,-243240,-0.07737653818709127,2.113120185965143,404378859321970
-243240,-243200,-0.008822233745178527,0.2416552761512471,23087614737266
-243200,-243190,-0.003079258083847916,0.08455698586277469,32273754930884
-243190,-243180,-0.002043858162306657,0.056180866072791616,21432424217894
-243180,-243160,-0.22256989862296822,6.127107686284163,1167838171604545
-243160,-243140,-0.014953830938695347,0.4124868398935556,78542184749165
-243140,-243100,-0.11071833410445134,3.063232716585791,291200028411595
-243100,-243070,-0.008512996265488603,0.23635394019724912,29905637095265
-243070,-243060,-4.2257876385348744e-05,0.0011755919884558683,445793619229
-243060,-243040,-0.005946793186670904,0.16568500060871988,31390968142289
