tick,price_1_per_0,liquidityNet,L_active_after_tick
-242560,29.260363981798953,352158242071390,54788484176162732
-242550,29.289637516456395,570266558418477,55358750734581209
-242540,29.318940337825104,1166581814632750,56525332549213959
-242510,29.40702481534432,11706460786849173,68231793336063132
-242500,29.436445076850294,59786874885327,68291580210948459
-242460,29.55442075253057,119129316834477,68410709527782936
-242430,29.64321269659041,236718562953223,68647428090736159
-242410,29.70255547789534,3574338872753,68651002429608912
-242400,29.732271403088127,914492549873128,69565494979482040
-242370,29.82159767347253,862948380374008,70428443359856048
-242360,29.851432694444174,247172470433002,70675615830289050
-242350,29.881297563866124,1552575265100,70677168405554150
-242340,29.911192311600274,1521503771770677,72198672177324827
-242320,29.971071561602113,206729945564079,72405402122888906
-242310,30.001056123743073,27920691280542594,100326093403431500
-242300,30.03107068394283,1450370593858161,101776463997289661
-242290,30.061115272212934,68382770952574,101844846768242235
-242250,30.18159450727964,222600036455314,102067446804697549
-242230,30.242015075745403,1183991,102067446805881540
-242210,30.302556600216086,95094438373983,102162541244255523
-242200,30.33287279660371,82808990251535500,184971531495791023
-242190,30.363219322833647,351625815481181,185323157311272204
-242180,30.393596209249402,125601003369349,185448758314641553
-242170,30.42400348622481,50052885280942,185498811199922495
-242150,30.484909333501985,2774930969750411,188273742169672906
-242100,30.637707918515755,69374463512410,188343116633185316
-242080,30.699041580939657,44197773787265,188387314406972581
-242010,30.914677937144425,80663439376539,188467977846349120
-242000,30.945606530397054,27408636515773,188495386482864893
-241980,31.007556575403232,677564578009077,189172951060873970
-241940,31.131828967284363,15339958050801,189188291018924771
-241930,31.162974809311148,785580273930767,189973871292855538
-241910,31.2253600041228,2701850323302160,192675721616157698
-241890,31.28787008792709,3410501815676,192679132117973374
-241880,31.319172041311752,239752512906971,192918884630880345
-241860,31.381869927540283,31754940136866,192950639571017211
-241830,31.476152175953516,7103094013636847,200053733584654058
-241820,31.507642496175745,34129417165904,200087863001819962
-241750,31.728958630836328,461215022682495,200549078024502457
-241740,31.760701871306683,11253402455508038,211802480480010495
-241730,31.792476869305776,691459000136403,212493939480146898
-241670,31.98379554685279,54599760411337,212548539240558235
-241660,32.01579373894636,3243573600049203,215792112840607438
-241650,32.04782394363505,127895198618915,215920008039226353
-241640,32.07988619294587,7358991883578285,223278999922804638
-241630,32.11198051893786,20743868423516,223299743791228154
-241610,32.176265529361935,72699395653762,223372443186881916
-241600,32.20845627807261,2072184009354925,225444627196236841
-241570,32.30522188454627,1594474320157468,227039101516394309
-241560,32.33754164765797,49100813717549,227088202330111858
-241540,32.40227820916287,7417949373471168,234506151703583026
-241530,32.43469507228618,1049762681447,234507201466264473
-241520,32.46714436686409,37508911285473,234544710377549946
-241470,32.62987844832133,15031515902424,234559741893452370
-241450,32.695200239200894,7213695798443555,241773437691895925
-241420,32.79342819687169,4308619088770767,246082056780666692
-241380,32.924858022698075,3556624688921981,249638681469588673
-241370,32.957797700858556,3791703500572552,253430384970161225
-241360,32.990770333524004,66401540378863387,319831925349024612
-241350,33.02377595366376,19632759667863416,339464685016888028
-241340,33.05681459428015,1260629226133,339465945646114161
-241330,33.08988628840851,94371436457767,339560317082571928
-241320,33.12299106911722,10285559570949,339570602642142877
-241310,33.15612896950777,34670458708779,339605273100851656
-241300,33.18930002271474,2340108127581,339607613208979237
-241290,33.222504261905875,633261940793142,340240875149772379
-241260,33.322316427559585,799652847232778,341040527997005157
-241250,33.3556537430289,12708656763421345,353749184760426502
-241240,33.389024410819495,35042462480734,353784227222907236
-241230,33.42242846429868,37025749426160,353821252972333396
-241190,33.55637920361715,1198271859307015,355019524831640411
-241180,33.58995068721887,140302215831092,355159827047471503
-241170,33.62355575741539,1218470488226952,356378297535698455
-241160,33.65719444780843,5117626749071633,361495924284770088
-241140,33.724572823759004,268040742219960,361763965026990048
-241130,33.75831257668818,1651026317113232,363414991344103280
-241110,33.82589338113629,280991258303814,363695982602407094
-241100,33.85973450022926,14124634051952609,377820616654359703
-241080,33.92751834134177,477645322911002,378298261977270705
-241070,33.96146113113837,10957049405054822,389255311382325527
-241060,33.995437879003106,39033536139156713,428288847521482240
-241050,34.02944861890932,4006065090449302,432294912611931542
-241020,34.13168513112039,22173131185748,432317085743117290
-241010,34.16583217960634,320573600467482,432637659343584772
-241000,34.20001339051104,4260556516522951,436898215860107723
-240990,34.23422879801229,354087312303446,437252303172411169
-240970,34.302762339686645,117048289301953,437369351461713122
-240960,34.337080542386424,103448745337172,437472800207050294
-240940,34.40581998308514,27080821238575018,464553621445625312
-240930,34.44024128981663,7064265954165878,471617887399791190
-240920,34.474697033348576,118196131402114,471736083531193304
-240910,34.50918724813327,6437362243470227,478173445774663531
-240900,34.5437119686575,8196072486857,478181641847150388
-240890,34.5782712294425,1105182487725,478182747029638113
-240880,34.61286506504412,9281515799567050,487464262829205163
-240870,34.647493510052705,2233405176555,487466496234381718
-240850,34.71685436682541,671133679735219,488137629914116937
-240840,34.75158684794344,847303651020767,488984933565137704
-240830,34.786354077176384,1374119220820509,490359052785958213
-240820,34.82115608928799,6124122775591650,496483175561549863
-240810,34.85599291907678,807198819314806,497290374380864669
-240800,34.890864601376116,560895002676841,497851269383541510
-240790,34.925771171054194,990670625234,497852260054166744
-240780,34.9607126630141,229701668871966,498081961723038710
-240770,34.99568911219383,28657239085090854,526739200808129564
-240760,35.03070055356634,2053555831245053,528792756639374617
-240750,35.06574702213957,196798010312082,528989554649686699
-240730,35.13594518109513,119761241608923,529109315891295622
-240710,35.20628386982516,305711561006440,529415027452302062
-240700,35.24150600074822,515857174215579,529930884626517641
-240690,35.276763369656386,109620242042938081,639551126669455722
-240680,35.3120560118035,143589316255715,639694715985711437
-240670,35.347383962478695,1014869544450333,640709585530161770
-240660,35.382747257006386,20477212268878173,661186797799039943
-240650,35.41814593074633,833721601315517,662020519400355460
-240640,35.45358001909366,127923502727668,662148442903083128
-240630,35.48904955747893,4873962891618829,667022405794701957
-240620,35.524554581368136,190193534808609,667212599329510566
-240610,35.56009512626276,488402191180997,667701001520691563
-240600,35.595671227699775,37242622910562,667738244143602125
-240590,35.63128292125175,1426759727058250,669165003870660375
-240580,35.66693024252682,556495308970039,669721499179630414
-240570,35.70261322716873,899083216213511,670620582395843925
-240560,35.738331910856914,48863240370215,670669445636214140
-240530,35.845702513528906,779279494893720,671448725131107860
-240520,35.8815643509108,912960584562108,672361685715669968
-240510,35.9174620662722,98919406737213,672460605122407181
-240500,35.953395695507254,1020634425610296,673481239548017477
-240490,35.98936527454598,851861224847751,674333100772865228
-240480,36.02537083935438,1123210520242415,675456311293107643
-240460,36.097490070324056,356033611361274,675812344904468917
-240450,36.133603808597364,21445508521203,675833790412990120
-240440,36.16975367686446,3789038492189336,679622828905179456
-240430,36.205939711271604,158669751194397,679781498656373853
-240420,36.24216194800122,178305099559018,679959803755932871
-240410,36.27842042327192,223438536360831,680183242292293702
-240400,36.31471517333854,3697477852785971,683880720145079673
-240370,36.42381743540687,186702547357,683880906847627030
-240360,36.46025764793174,521193644217972,684402100491845002
-240340,36.53324747929949,7058573384694,684409159065229696
-240310,36.643006289789064,1554849321883885,685964008387113581
-240290,36.71636196587137,1377661688140742,687341670075254323
-240270,36.78986449276529,57638166954417,687399308242208740
